region_idx,region_name,mean_Controls,mean_Coma,U_statistic,p_value,fdr_sig
376,N_Thalamus-6-L,5.4,10.6923,131.0,0.9848176102602044,False
377,N_Thalamus-6-R,3.2,8.3846,120.5,0.7245316602729333,False
378,N_Thalamus-7-L,1.25,8.8462,96.0,0.10023036779058071,False
379,N_Thalamus-7-R,2.35,8.0,95.0,0.1688849068636794,False
380,N_Thalamus-8-L,1.8,10.4615,106.0,0.3138899753419372,False
381,N_Thalamus-8-R,1.6,4.6923,134.0,0.8479557363232368,False
382,N_Thalamus-9-L,3.4,10.9231,75.0,0.038059785742310295,False
383,N_Thalamus-9-R,3.5,12.8462,87.0,0.10202978824515639,False
384,Cereb_I_II_L,44.35,68.4615,62.0,0.012838982260345915,False
385,Cereb_I_II_R,31.2,57.2308,65.0,0.017406088517226116,False
386,Cereb_III_VI_L,64.65,39.4615,188.5,0.032559244454928166,False
387,Cereb_III_VI_R,62.55,51.6923,149.0,0.4953772256333593,False
388,Cereb_VII_X_L,50.4,19.7692,227.0,0.0003756623349827514,True
389,Cereb_VII_X_R,50.5,23.7692,210.0,0.003383601798610261,True
390,Vermis,44.45,33.5385,166.0,0.19051762696625518,False
