region_idx,region_name,mean_Controls,mean_Coma,U_statistic,p_value,fdr_sig
41,G_Frontal_Inf_Orb-1-R,14.75,14.1538,126.5,0.9115971721155571,False
42,G_Frontal_Inf_Orb-2-L,18.8,13.6154,150.0,0.47169851352577685,False
43,G_Frontal_Inf_Orb-2-R,21.5,14.3846,178.0,0.07987731595353949,False
44,S_Orbital-1-L,15.8,16.0,136.0,0.8391636324221083,False
45,S_Orbital-1-R,21.45,15.9231,154.0,0.3857089431905397,False
46,S_Orbital-2-L,12.6,12.9231,131.0,0.9852690120664697,False
47,S_Orbital-2-R,11.75,12.5385,115.5,0.6045013769161978,False
48,S_Olfactory-1-L,25.85,18.6923,175.5,0.09707157053530646,False
49,S_Olfactory-1-R,27.85,21.9231,164.0,0.21671883202192777,False
50,S_Precentral-1-L,28.25,33.6923,102.0,0.3106387610656668,False
51,S_Precentral-1-R,28.1,34.4615,104.5,0.3565986034785683,False
52,S_Precentral-2-L,24.0,21.0,155.5,0.3559940277043202,False
53,S_Precentral-2-R,15.4,17.2308,132.5,0.9411853280149169,False
54,S_Precentral-3-L,5.3,6.0769,142.5,0.6383784578273362,False
55,S_Precentral-3-R,3.9,4.3077,128.5,0.9658787185511852,False
56,S_Precentral-4-L,31.05,36.2308,119.5,0.712454771331301,False
57,S_Precentral-4-R,26.7,34.4615,88.5,0.130666105808239,False
58,S_Precentral-5-L,12.4,11.0,163.0,0.22855777983911407,False
59,S_Precentral-5-R,19.75,15.4615,164.0,0.2156013693550125,False
60,S_Precentral-6-L,10.9,8.0769,158.0,0.3065156617198951,False
61,S_Precentral-6-R,9.75,5.4615,156.0,0.3447093408591242,False
62,S_Rolando-1-L,41.15,33.2308,163.5,0.22385014338525522,False
63,S_Rolando-1-R,42.0,34.3077,154.0,0.3861070079564942,False
64,S_Rolando-2-L,23.0,20.7692,147.5,0.530400975281552,False
65,S_Rolando-2-R,26.0,26.6923,104.5,0.35655834920767515,False
66,S_Rolando-3-L,17.2,17.4615,124.0,0.8392831771178738,False
67,S_Rolando-3-R,31.0,42.1538,84.0,0.09341441680531296,False
68,S_Rolando-4-L,33.2,31.2308,140.5,0.712454771331301,False
69,S_Rolando-4-R,30.15,33.5385,116.5,0.6317323564386956,False
70,S_Postcentral-1-L,15.65,28.5385,83.5,0.08981488973878411,False
71,S_Postcentral-1-R,27.0,16.6154,180.5,0.06513228412754062,False
72,S_Postcentral-2-L,19.75,24.8462,114.0,0.5674925665143628,False
73,S_Postcentral-2-R,36.65,39.2308,120.0,0.7261068213919879,False
74,S_Postcentral-3-L,39.05,33.8462,146.0,0.5676871095388746,False
75,S_Postcentral-3-R,17.25,14.0769,160.0,0.274705473210881,False
